arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2016-03-30,09:30 PM,Newton,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1373,33.9907,-118.2564,2016,Mar,Wed,15-20
2016-04-01,08:40 PM,Southeast,19,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1801,33.9601,-118.287,2016,Apr,Fri,15-20
2016-04-03,03:13 AM,Foothill,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1687,34.2121,-118.3638,2016,Apr,Sun,15-20
2016-04-01,09:00 AM,West Valley,20,Female,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1017,34.2049,-118.5084,2016,Apr,Fri,15-20
2016-04-10,06:20 AM,Mission,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1943,34.2688,-118.4559,2016,Apr,Sun,15-20
2016-04-09,10:35 PM,Foothill,18,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1641,34.2576,-118.4338,2016,Apr,Sat,15-20
2016-04-07,11:10 PM,Olympic,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,2093,34.0385,-118.3046,2016,Apr,Thu,15-20
2016-04-10,10:10 PM,Foothill,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1622,34.2699,-118.4322,2016,Apr,Sun,15-20
2016-04-09,11:20 PM,Foothill,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1641,34.2576,-118.4338,2016,Apr,Sat,15-20
2016-04-08,07:30 AM,Van Nuys,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,935,34.1837,-118.4465,2016,Apr,Fri,15-20
