arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2010-11-24,08:00 PM,Hollenbeck,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,467,34.0365,-118.2116,2010,Nov,Wed,15-20
2010-04-21,03:10 PM,Harbor,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,525,33.7724,-118.2684,2010,Apr,Wed,15-20
2010-02-12,09:15 AM,Harbor,20,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,589,33.7065,-118.2928,2010,Feb,Fri,15-20
2010-02-06,11:55 PM,Harbor,19,Male,Hispanic,Drunkeness,POSS ALCH BEV ON POSTED PREM,Misdemeanor,525,33.7799,-118.2637,2010,Feb,Sat,15-20
2010-05-06,05:50 PM,Harbor,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,585,33.719,-118.32,2010,May,Thu,15-20
2010-02-03,09:40 PM,Harbor,20,Male,Hispanic,Drunkeness,POSS ALCH BEV ON POSTED PREM,Misdemeanor,584,33.7479,-118.3095,2010,Feb,Wed,15-20
2010-03-15,05:50 PM,Harbor,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,567,33.7306,-118.2814,2010,Mar,Mon,15-20
2010-01-29,01:15 AM,Hollywood,20,Male,White,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,666,34.1037,-118.3252,2010,Jan,Fri,15-20
2010-01-27,10:25 PM,Hollywood,20,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,665,34.0907,-118.3363,2010,Jan,Wed,15-20
2010-07-21,10:15 PM,Harbor,18,Male,Hispanic,Drunkeness,POSS ALCH BEV ON POSTED PREM,Misdemeanor,555,33.7433,-118.2923,2010,Jul,Wed,15-20
2010-01-06,11:15 PM,Hollywood,19,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,665,34.0907,-118.3374,2010,Jan,Wed,15-20
2010-01-08,10:30 PM,Hollywood,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,665,34.0907,-118.3363,2010,Jan,Fri,15-20
2010-01-28,08:40 PM,Hollywood,18,Female,White,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,665,34.0926,-118.3342,2010,Jan,Thu,15-20
2010-01-25,09:45 PM,Hollywood,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,665,34.0926,-118.3352,2010,Jan,Mon,15-20
2010-01-01,03:15 PM,Hollywood,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,636,34.104,-118.3297,2010,Jan,Fri,15-20
2010-01-21,11:30 PM,Hollywood,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,637,34.103,-118.3206,2010,Jan,Thu,15-20
2010-09-24,03:45 PM,Harbor,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,585,33.719,-118.32,2010,Sep,Fri,15-20
2010-01-07,08:10 PM,Hollywood,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,665,34.0907,-118.3332,2010,Jan,Thu,15-20
2010-01-17,03:35 PM,Hollywood,20,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,645,34.1016,-118.3417,2010,Jan,Sun,15-20
2010-01-08,10:30 PM,Hollywood,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,665,34.0907,-118.3363,2010,Jan,Fri,15-20
2010-01-14,08:30 PM,Hollywood,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,646,34.0877,-118.3332,2010,Jan,Thu,15-20
